id,portalId,createdAt,lastUpdated,type
15979065,62515,1446747805231,1446755904971,NOTE
15979075,62515,1446747807201,1446755906389,NOTE
15979080,62515,1446747807479,1446755906640,NOTE
15979085,62515,1446747807584,1446755906756,NOTE
15979095,62515,1446747807687,1446755906983,NOTE
15979105,62515,1446747808180,1446755907144,NOTE
15979110,62515,1446747808579,1446755907370,NOTE
15979120,62515,1446747809383,1446755890033,NOTE
15979135,62515,1446747809850,1446755890486,NOTE
15979145,62515,1446747810088,1446755890767,NOTE
15979150,62515,1446747810185,1446755890952,NOTE
15979155,62515,1446747810290,1446755891091,NOTE
15979160,62515,1446747810570,1446755891569,NOTE
15979165,62515,1446747811090,1446755892088,NOTE
15979170,62515,1446747811248,1446755892282,NOTE
15979175,62515,1446747814238,1446755895285,NOTE
15979180,62515,1446747814456,1446755895429,NOTE
15979185,62515,1446747814617,1446755895622,NOTE
15979195,62515,1446747815239,1446755896433,NOTE
15979200,62515,1446747815355,1446755896571,NOTE
15979210,62515,1446747815648,1446755896881,NOTE
15979215,62515,1446747815795,1446755897036,NOTE
15979220,62515,1446747816002,1446755897163,NOTE
15979225,62515,1446747817828,1446755899216,NOTE
15979230,62515,1446747818106,1446755899512,NOTE
15979235,62515,1446747818250,1446755899649,NOTE
15979240,62515,1446747818954,1446755900256,NOTE
15979245,62515,1446747819054,1446755900387,NOTE
15979255,62515,1446747819705,1446755901012,NOTE
15979260,62515,1446747819917,1446755901336,NOTE
15979265,62515,1446747820016,1446755901531,NOTE
15979270,62515,1446747820126,1446755901711,NOTE
15979275,62515,1446747825020,1446755905249,NOTE
15979280,62515,1446747825991,1446755905802,NOTE
15979285,62515,1446747826109,1446755905964,NOTE
15979290,62515,1446747826523,1446755906185,NOTE
15979295,62515,1446747826716,1446755906248,NOTE
15979305,62515,1446747827594,1446755906418,NOTE
15979310,62515,1446747827819,1446755906473,NOTE
15979315,62515,1446747828197,1446755906575,NOTE
15979330,62515,1446747829225,1446755906821,NOTE
15979335,62515,1446747829332,1446755906870,NOTE
15979340,62515,1446747829452,1446755906926,NOTE
15979345,62515,1446747829732,1446755906997,NOTE
15979350,62515,1446747829837,1446755907065,NOTE
